,region_code,city,upload_kbps_2008,upload_kbps_2009,upload_kbps_2010,upload_kbps_2011,upload_kbps_2012,upload_kbps_2013,upload_kbps_2014,total_tests_2008,total_tests_2009,total_tests_2010,total_tests_2011,total_tests_2012,total_tests_2013,total_tests_2014,download_kbps_2008,download_kbps_2009,download_kbps_2010,download_kbps_2011,download_kbps_2012,download_kbps_2013,download_kbps_2014,over200_2008,over200_2009,over200_2010,over200_2011,over200_2012,over200_2013,over200_2014,zip,primary_city,state
7985,OH,Akron,891.3195,1210.841471,885.3441233,1502.016055,1654.92663,2247.656795,4577.710327,1218555,1717535,2569942,3000081,3450681,3879433,2760705,5332.066038,6806.179644,6122.621288,9182.463726,10063.83704,12952.48329,17054.38836,1218555,1717535,2569942,3000081,3450681,3879433,2760705,44320,Akron,OH
7986,OH,Akron,891.3195,1210.841471,885.3441233,1502.016055,1654.92663,2247.656795,4577.710327,1218555,1717535,2569942,3000081,3450681,3879433,2760705,5332.066038,6806.179644,6122.621288,9182.463726,10063.83704,12952.48329,17054.38836,1218555,1717535,2569942,3000081,3450681,3879433,2760705,44321,Akron,OH
7987,OH,Akron,891.3195,1210.841471,885.3441233,1502.016055,1654.92663,2247.656795,4577.710327,1218555,1717535,2569942,3000081,3450681,3879433,2760705,5332.066038,6806.179644,6122.621288,9182.463726,10063.83704,12952.48329,17054.38836,1218555,1717535,2569942,3000081,3450681,3879433,2760705,44322,Akron,OH
7988,OH,Akron,891.3195,1210.841471,885.3441233,1502.016055,1654.92663,2247.656795,4577.710327,1218555,1717535,2569942,3000081,3450681,3879433,2760705,5332.066038,6806.179644,6122.621288,9182.463726,10063.83704,12952.48329,17054.38836,1218555,1717535,2569942,3000081,3450681,3879433,2760705,44333,Akron,OH
7989,OH,Alliance,557.8893191,552.4796768,552.8206538,933.2386658,1414.350665,1693.691288,3486.194036,54795,98457,123469,149699,212913,240063,252293,6532.592934,9346.352265,8799.149313,10333.32641,13358.76693,13911.25014,16543.59127,54795,98457,123469,149699,212913,240063,252293,44601,Alliance,OH
7990,OH,Amelia,551.6432322,657.0137644,790.9102137,1435.457397,1797.76547,2219.275014,2534.884073,118810,188123,254493,331442,424985,412812,269760,6992.862104,8258.510493,9621.817589,13910.70003,14938.67956,17052.25123,17886.152,118810,188123,254493,331442,424985,412812,269760,45102,Amelia,OH
7991,OH,Amherst,508.3307811,513.2507389,540.9035589,1068.194405,2046.174088,2001.122438,2367.009564,40256,56478,81366,161432,200197,241437,282991,6225.966036,7001.097639,6300.521644,12220.38093,13660.795,14265.6169,14742.58691,40256,56478,81366,161432,200197,241437,282991,44001,Amherst,OH
7992,OH,Ashland,466.7589941,615.5116407,900.6775644,1510.149255,2535.431796,3779.147562,4378.349164,36577,79249,143493,182222,200569,216482,169356,3306.310682,3916.113593,4262.967233,4209.812082,7606.701519,10328.98384,13894.70691,36577,79249,143493,182222,200569,216482,169356,44805,Ashland,OH
7993,OH,Ashtabula,450.5316066,429.0940219,574.2728411,968.505189,1110.321298,1387.794178,2131.228582,169242,199814,289994,287573,428745,453950,350285,4590.178716,5076.409452,4529.364849,7672.945452,7873.508398,10017.10951,13534.73964,169242,199814,289994,287573,428745,453950,350285,44004,Ashtabula,OH
7994,OH,Ashville,,,,,888.5901457,1278.763917,1786.785248,,,,,29237,9347,25030,,,,,5756.762781,3728.74513,7450.30919,,,,,29237,9347,25030,43103,Ashville,OH
7995,OH,Athens,784.1388658,871.8944301,811.6734795,1131.469871,1395.682845,2356.00811,3846.200545,172327,227356,245689,317998,396007,455611,420608,4515.635315,5210.943973,6993.081068,9725.328055,10000.93022,12121.62384,13294.21538,172327,227356,245689,317998,396007,455611,420608,45701,Athens,OH
7996,OH,Atwater,,,,769.4074122,1072.034824,1632.066975,2261.737737,,,,16037,68153,86275,78871,,,,10119.60771,14108.88079,14909.47367,15683.94453,,,,16037,68153,86275,78871,44201,Atwater,OH
7997,OH,Aurora,416.3605489,478.8048459,607.9930912,1001.543808,929.156547,1869.077699,3823.651236,46061,77339,121837,128350,210475,185758,203270,3845.642874,4866.037395,4586.184586,5472.988959,5883.093591,9699.051918,12984.80702,46061,77339,121837,128350,210475,185758,203270,44202,Aurora,OH
7998,OH,Avon,508.3114146,555.38885,657.4085808,1141.723663,1867.403453,2002.563425,2511.354109,40880,63220,125341,109842,140801,261378,315322,5408.591951,8846.352278,7755.058219,13606.54767,14267.48801,14608.64575,16278.01564,40880,63220,125341,109842,140801,261378,315322,44011,Avon,OH
