"county","cbsa","cntyname","cbsaname","pop10","afact"
"county","cbsa","cntyname","CBSA Name","Total Pop, 2010 census","county to cbsa alloc factor"
"51035"," ","Carroll VA"," ",30042,1 
"51036","40060","Charles City VA","Richmond, VA",7256,1 
"51037"," ","Charlotte VA"," ",12586,1 
"51041","40060","Chesterfield VA","Richmond, VA",316236,1 
"51043","47900","Clarke VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",14034,1 
"51045","40220","Craig VA","Roanoke, VA",5190,1 
"51047","47900","Culpeper VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",46689,1 
"51049"," ","Cumberland VA"," ",10052,1 
"51051","13720","Dickenson VA","Big Stone Gap, VA",15903,1 
"51053","40060","Dinwiddie VA","Richmond, VA",28001,1 
"51057"," ","Essex VA"," ",11151,1 
"51059","47900","Fairfax VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",1081726,1 
"51061","47900","Fauquier VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",65203,1 
"51063","13980","Floyd VA","Blacksburg-Christiansburg-Radford, VA",15279,1 
"51065","16820","Fluvanna VA","Charlottesville, VA",25691,1 
"51067","40220","Franklin VA","Roanoke, VA",56159,1 
"51069","49020","Frederick VA","Winchester, VA-WV",78305,1 
"51071","13980","Giles VA","Blacksburg-Christiansburg-Radford, VA",17286,1 
"51073","47260","Gloucester VA","Virginia Beach-Norfolk-Newport News, VA-NC",36858,1 
"51075","40060","Goochland VA","Richmond, VA",21717,1 
"51077"," ","Grayson VA"," ",15533,1 
"51079","16820","Greene VA","Charlottesville, VA",18403,1 
"51081"," ","Greensville VA"," ",12243,1 
"51083"," ","Halifax VA"," ",36241,1 
"51085","40060","Hanover VA","Richmond, VA",99863,1 
"51087","40060","Henrico VA","Richmond, VA",306935,1 
"51089","32300","Henry VA","Martinsville, VA",54151,1 
"51091"," ","Highland VA"," ",2321,1 
"51093","47260","Isle of Wight VA","Virginia Beach-Norfolk-Newport News, VA-NC",35270,1 
"51095","47260","James City VA","Virginia Beach-Norfolk-Newport News, VA-NC",67009,1 
"51097"," ","King and Queen VA"," ",6945,1 
"51099"," ","King George VA"," ",23584,1 
"51101","40060","King William VA","Richmond, VA",15935,1 
"51103"," ","Lancaster VA"," ",11391,1 
"51105"," ","Lee VA"," ",25587,1 
"51107","47900","Loudoun VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",312311,1 
"51109"," ","Louisa VA"," ",33153,1 
"51111"," ","Lunenburg VA"," ",12914,1 
"51113"," ","Madison VA"," ",13308,1 
"51115","47260","Mathews VA","Virginia Beach-Norfolk-Newport News, VA-NC",8978,1 
"51117"," ","Mecklenburg VA"," ",32727,1 
"51119"," ","Middlesex VA"," ",10959,1 
"51121","13980","Montgomery VA","Blacksburg-Christiansburg-Radford, VA",94392,1 
"51125","16820","Nelson VA","Charlottesville, VA",15020,1 
"51127","40060","New Kent VA","Richmond, VA",18429,1 
"51131"," ","Northampton VA"," ",12389,1 
"51133"," ","Northumberland VA"," ",12330,1 
"51135"," ","Nottoway VA"," ",15853,1 
"51137"," ","Orange VA"," ",33481,1 
"51139"," ","Page VA"," ",24042,1 
"51141"," ","Patrick VA"," ",18490,1 
"51143","19260","Pittsylvania VA","Danville, VA",63506,1 
"51145","40060","Powhatan VA","Richmond, VA",28046,1 
"51147"," ","Prince Edward VA"," ",23368,1 
"51149","40060","Prince George VA","Richmond, VA",35725,1 
"51153","47900","Prince William VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",402002,1 
"51155","13980","Pulaski VA","Blacksburg-Christiansburg-Radford, VA",34872,1 
"51157","47900","Rappahannock VA","Washington-Arlington-Alexandria, DC-VA-MD-WV",7373,1 
"51159"," ","Richmond VA"," ",9254,1 
"51161","40220","Roanoke VA","Roanoke, VA",92376,1 
"51163"," ","Rockbridge VA"," ",22307,1 
"51165","25500","Rockingham VA","Harrisonburg, VA",76314,1 
"51167"," ","Russell VA"," ",28897,1 
"51169","28700","Scott VA","Kingsport-Bristol-Bristol, TN-VA",23177,1 
"51171"," ","Shenandoah VA"," ",41993,1 
"51173"," ","Smyth VA"," ",32208,1 
"51175"," ","Southampton VA"," ",18570,1 
