"county","cbsa","cntyname","cbsaname","pop10","afact"
"county","cbsa","cntyname","CBSA Name","Total Pop, 2010 census","county to cbsa alloc factor"
"01079","19460","Lawrence AL","Decatur, AL",34339,1 
"01081","12220","Lee AL","Auburn-Opelika, AL",140247,1 
"01083","26620","Limestone AL","Huntsville, AL",82782,1 
"01085","33860","Lowndes AL","Montgomery, AL",11299,1 
"01087"," ","Macon AL"," ",21452,1 
"01089","26620","Madison AL","Huntsville, AL",334811,1 
"01091"," ","Marengo AL"," ",21027,1 
"01093"," ","Marion AL"," ",30776,1 
"01095","10700","Marshall AL","Albertville, AL",93019,1 
"01097","33660","Mobile AL","Mobile, AL",412992,1 
"01099"," ","Monroe AL"," ",23068,1 
"01101","33860","Montgomery AL","Montgomery, AL",229363,1 
"01103","19460","Morgan AL","Decatur, AL",119490,1 
"01105"," ","Perry AL"," ",10591,1 
"01107","46220","Pickens AL","Tuscaloosa, AL",19746,1 
"01109","45980","Pike AL","Troy, AL",32899,1 
"01111"," ","Randolph AL"," ",22913,1 
"01113","17980","Russell AL","Columbus, GA-AL",52947,1 
"01115","13820","St. Clair AL","Birmingham-Hoover, AL",83593,1 
"01117","13820","Shelby AL","Birmingham-Hoover, AL",195085,1 
"01119"," ","Sumter AL"," ",13763,1 
"01121","45180","Talladega AL","Talladega-Sylacauga, AL",82291,1 
"01123"," ","Tallapoosa AL"," ",41616,1 
"01125","46220","Tuscaloosa AL","Tuscaloosa, AL",194656,1 
"01127","13820","Walker AL","Birmingham-Hoover, AL",67023,1 
"01129"," ","Washington AL"," ",17581,1 
"01131"," ","Wilcox AL"," ",11670,1 
"01133"," ","Winston AL"," ",24484,1 
"02013"," ","Aleutians East Borough AK"," ",3141,1 
"02016"," ","Aleutians West Census Area AK"," ",5561,1 
"02020","11260","Anchorage Borough AK","Anchorage, AK",291826,1 
"02050"," ","Bethel Census Area AK"," ",17013,1 
"02060"," ","Bristol Bay Borough AK"," ",997,1 
"02068"," ","Denali Borough AK"," ",1826,1 
"02070"," ","Dillingham Census Area AK"," ",4847,1 
"02090","21820","Fairbanks North Star Borough AK","Fairbanks, AK",97581,1 
"02100"," ","Haines Borough AK"," ",2508,1 
"02105"," ","Hoonah-Angoon Census Area"," ",2150,1 
"02110","27940","Juneau Borough AK","Juneau, AK",31275,1 
"02122"," ","Kenai Peninsula Borough AK"," ",55400,1 
"02130","28540","Ketchikan Gateway Borough AK","Ketchikan, AK",13477,1 
"02150"," ","Kodiak Island Borough AK"," ",13592,1 
"02164"," ","Lake and Peninsula Borough AK"," ",1631,1 
"02170","11260","Matanuska-Susitna Borough AK","Anchorage, AK",88995,1 
"02180"," ","Nome Census Area AK"," ",9492,1 
"02185"," ","North Slope Borough AK"," ",9430,1 
"02188"," ","Northwest Arctic Borough AK"," ",7523,1 
"02195"," ","Petersburg Census Area"," ",3815,1 
"02198"," ","Prince of Wales-Hyder Census Area"," ",5559,1 
"02220"," ","Sitka Borough AK"," ",8881,1 
"02230"," ","Skagway Municipality"," ",968,1 
"02240"," ","Southeast Fairbanks Census Area AK"," ",7029,1 
"02261"," ","Valdez-Cordova Census Area AK"," ",9636,1 
"02270"," ","Wade Hampton Census Area AK"," ",7459,1 
"02275"," ","Wrangell City and Borough"," ",2369,1 
"02282"," ","Yakutat Borough"," ",662,1 
"02290"," ","Yukon-Koyukuk Census Area AK"," ",5588,1 
"04001"," ","Apache AZ"," ",71518,1 
"04003","43420","Cochise AZ","Sierra Vista-Douglas, AZ",131346,1 
"04005","22380","Coconino AZ","Flagstaff, AZ",134421,1 
"04007","37740","Gila AZ","Payson, AZ",53597,1 
"04009","40940","Graham AZ","Safford, AZ",37220,1 
"04011"," ","Greenlee AZ"," ",8437,1 
"04012"," ","La Paz AZ"," ",20489,1 
"04013","38060","Maricopa AZ","Phoenix-Mesa-Scottsdale, AZ",3817117,1 
"04015","29420","Mohave AZ","Lake Havasu City-Kingman, AZ",200186,1 
"04017","43320","Navajo AZ","Show Low, AZ",107449,1 
"04019","46060","Pima AZ","Tucson, AZ",980263,1 
"04021","38060","Pinal AZ","Phoenix-Mesa-Scottsdale, AZ",375770,1 
"04023","35700","Santa Cruz AZ","Nogales, AZ",47420,1 
"04025","39140","Yavapai AZ","Prescott, AZ",211033,1 
"04027","49740","Yuma AZ","Yuma, AZ",195751,1 
"05001"," ","Arkansas AR"," ",19019,1 
"05003"," ","Ashley AR"," ",21853,1 
"05005","34260","Baxter AR","Mountain Home, AR",41513,1 
"05007","22220","Benton AR","Fayetteville-Springdale-Rogers, AR-MO",221339,1 
"05009","25460","Boone AR","Harrison, AR",36903,1 
"05011"," ","Bradley AR"," ",11508,1 
"05013","15780","Calhoun AR","Camden, AR",5368,1 
"05015"," ","Carroll AR"," ",27446,1 
"05017"," ","Chicot AR"," ",11800,1 
"05019","11660","Clark AR","Arkadelphia, AR",22995,1 
"05021"," ","Clay AR"," ",16083,1 
"05023"," ","Cleburne AR"," ",25970,1 
"05025","38220","Cleveland AR","Pine Bluff, AR",8689,1 
"05027","31620","Columbia AR","Magnolia, AR",24552,1 
"05029"," ","Conway AR"," ",21273,1 
"05031","27860","Craighead AR","Jonesboro, AR",96443,1 
"05033","22900","Crawford AR","Fort Smith, AR-OK",61948,1 
"05035","32820","Crittenden AR","Memphis, TN-MS-AR",50902,1 
"05037"," ","Cross AR"," ",17870,1 
"05039"," ","Dallas AR"," ",8116,1 
"05041"," ","Desha AR"," ",13008,1 
"05043"," ","Drew AR"," ",18509,1 
"05045","30780","Faulkner AR","Little Rock-North Little Rock-Conway, AR",113237,1 
"05047"," ","Franklin AR"," ",18125,1 
"05049"," ","Fulton AR"," ",12245,1 
"05051","26300","Garland AR","Hot Springs, AR",96024,1 
"05053","30780","Grant AR","Little Rock-North Little Rock-Conway, AR",17853,1 
"05055","37500","Greene AR","Paragould, AR",42090,1 
"05057"," ","Hempstead AR"," ",22609,1 
"05059","31680","Hot Spring AR","Malvern, AR",32923,1 
"05061"," ","Howard AR"," ",13789,1 
"05063","12900","Independence AR","Batesville, AR",36647,1 
"05065"," ","Izard AR"," ",13696,1 
"05067"," ","Jackson AR"," ",17997,1 
"05069","38220","Jefferson AR","Pine Bluff, AR",77435,1 
"05071"," ","Johnson AR"," ",25540,1 
"05073"," ","Lafayette AR"," ",7645,1 
"05075"," ","Lawrence AR"," ",17415,1 
"05077"," ","Lee AR"," ",10424,1 
"05079","38220","Lincoln AR","Pine Bluff, AR",14134,1 
"05081","45500","Little River AR","Texarkana, TX-AR",13171,1 
"05083"," ","Logan AR"," ",22353,1 
"05085","30780","Lonoke AR","Little Rock-North Little Rock-Conway, AR",68356,1 
"05087","22220","Madison AR","Fayetteville-Springdale-Rogers, AR-MO",15717,1 
"05089"," ","Marion AR"," ",16653,1 
"05091","45500","Miller AR","Texarkana, TX-AR",43462,1 
"05093","14180","Mississippi AR","Blytheville, AR",46480,1 
"05095"," ","Monroe AR"," ",8149,1 
"05097"," ","Montgomery AR"," ",9487,1 
"05099"," ","Nevada AR"," ",8997,1 
"05101","25460","Newton AR","Harrison, AR",8330,1 
"05103","15780","Ouachita AR","Camden, AR",26120,1 
"05105","30780","Perry AR","Little Rock-North Little Rock-Conway, AR",10445,1 
"05107","25760","Phillips AR","Helena-West Helena, AR",21757,1 
"05109"," ","Pike AR"," ",11291,1 
"05111","27860","Poinsett AR","Jonesboro, AR",24583,1 
"05113"," ","Polk AR"," ",20662,1 
"05115","40780","Pope AR","Russellville, AR",61754,1 
"05117"," ","Prairie AR"," ",8715,1 
"05119","30780","Pulaski AR","Little Rock-North Little Rock-Conway, AR",382748,1 
"05121"," ","Randolph AR"," ",17969,1 
"05123","22620","St. Francis AR","Forrest City, AR",28258,1 
"05125","30780","Saline AR","Little Rock-North Little Rock-Conway, AR",107118,1 
"05127"," ","Scott AR"," ",11233,1 
"05129"," ","Searcy AR"," ",8195,1 
"05131","22900","Sebastian AR","Fort Smith, AR-OK",125744,1 
"05133"," ","Sevier AR"," ",17058,1 
"05135"," ","Sharp AR"," ",17264,1 
"05137"," ","Stone AR"," ",12394,1 
"05139","20980","Union AR","El Dorado, AR",41639,1 
"05141"," ","Van Buren AR"," ",17295,1 
"05143","22220","Washington AR","Fayetteville-Springdale-Rogers, AR-MO",203065,1 
"05145","42620","White AR","Searcy, AR",77076,1 
"05147"," ","Woodruff AR"," ",7260,1 
"05149","40780","Yell AR","Russellville, AR",22185,1 
"06001","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1510271,1 
"06003"," ","Alpine CA"," ",1175,1 
"06005"," ","Amador CA"," ",38091,1 
"06007","17020","Butte CA","Chico, CA",220000,1 
"06009"," ","Calaveras CA"," ",45578,1 
"06011"," ","Colusa CA"," ",21419,1 
"06013","41860","Contra Costa CA","San Francisco-Oakland-Hayward, CA",1049025,1 
"06015","18860","Del Norte CA","Crescent City, CA",28610,1 
"06017","40900","El Dorado CA","Sacramento--Roseville--Arden-Arcade, CA",181058,1 
"06019","23420","Fresno CA","Fresno, CA",930450,1 
"06021"," ","Glenn CA"," ",28122,1 
"06023","21700","Humboldt CA","Eureka-Arcata-Fortuna, CA",134623,1 
"06025","20940","Imperial CA","El Centro, CA",174528,1 
"06027"," ","Inyo CA"," ",18546,1 
"06029","12540","Kern CA","Bakersfield, CA",839631,1 
"06031","25260","Kings CA","Hanford-Corcoran, CA",152982,1 
"06033","17340","Lake CA","Clearlake, CA",64665,1 
"06035","45000","Lassen CA","Susanville, CA",34895,1 
"06037","31080","Los Angeles CA","Los Angeles-Long Beach-Anaheim, CA",9818605,1 
"06039","31460","Madera CA","Madera, CA",150865,1 
"06041","41860","Marin CA","San Francisco-Oakland-Hayward, CA",252409,1 
"06043"," ","Mariposa CA"," ",18251,1 
"06045","46380","Mendocino CA","Ukiah, CA",87841,1 
"06047","32900","Merced CA","Merced, CA",255793,1 
"06049"," ","Modoc CA"," ",9686,1 
"06051"," ","Mono CA"," ",14202,1 
"06053","41500","Monterey CA","Salinas, CA",415057,1 
"06055","34900","Napa CA","Napa, CA",136484,1 
"06057","46020","Nevada CA","Truckee-Grass Valley, CA",98764,1 
"06059","31080","Orange CA","Los Angeles-Long Beach-Anaheim, CA",3010232,1 
"06061","40900","Placer CA","Sacramento--Roseville--Arden-Arcade, CA",348432,1 
"06063"," ","Plumas CA"," ",20007,1 
"06065","40140","Riverside CA","Riverside-San Bernardino-Ontario, CA",2189641,1 
"06067","40900","Sacramento CA","Sacramento--Roseville--Arden-Arcade, CA",1418788,1 
"06069","41940","San Benito CA","San Jose-Sunnyvale-Santa Clara, CA",55269,1 
"06071","40140","San Bernardino CA","Riverside-San Bernardino-Ontario, CA",2035210,1 
"06073","41740","San Diego CA","San Diego-Carlsbad, CA",3095313,1 
"06075","41860","San Francisco CA","San Francisco-Oakland-Hayward, CA",805235,1 
"06077","44700","San Joaquin CA","Stockton-Lodi, CA",685306,1 
"06079","42020","San Luis Obispo CA","San Luis Obispo-Paso Robles-Arroyo Grande, CA",269637,1 
"06081","41860","San Mateo CA","San Francisco-Oakland-Hayward, CA",718451,1 
"06083","42200","Santa Barbara CA","Santa Maria-Santa Barbara, CA",423895,1 
"06085","41940","Santa Clara CA","San Jose-Sunnyvale-Santa Clara, CA",1781642,1 
"06087","42100","Santa Cruz CA","Santa Cruz-Watsonville, CA",262382,1 
"06089","39820","Shasta CA","Redding, CA",177223,1 
"06091"," ","Sierra CA"," ",3240,1 
"06093"," ","Siskiyou CA"," ",44900,1 
"06095","46700","Solano CA","Vallejo-Fairfield, CA",413344,1 
"06097","42220","Sonoma CA","Santa Rosa, CA",483878,1 
"06099","33700","Stanislaus CA","Modesto, CA",514453,1 
"06101","49700","Sutter CA","Yuba City, CA",94737,1 
"06103","39780","Tehama CA","Red Bluff, CA",63463,1 
"06105"," ","Trinity CA"," ",13786,1 
"06107","47300","Tulare CA","Visalia-Porterville, CA",442179,1 
"06109","43760","Tuolumne CA","Sonora, CA",55365,1 
"06111","37100","Ventura CA","Oxnard-Thousand Oaks-Ventura, CA",823318,1 
"06113","40900","Yolo CA","Sacramento--Roseville--Arden-Arcade, CA",200849,1 
"06115","49700","Yuba CA","Yuba City, CA",72155,1 
"08001","19740","Adams CO","Denver-Aurora-Lakewood, CO",441603,1 
"08003"," ","Alamosa CO"," ",15445,1 
"08005","19740","Arapahoe CO","Denver-Aurora-Lakewood, CO",572003,1 
"08007"," ","Archuleta CO"," ",12084,1 
"08009"," ","Baca CO"," ",3788,1 
"08011"," ","Bent CO"," ",6499,1 
"08013","14500","Boulder CO","Boulder, CO",294567,1 
"08014","19740","Broomfield CO","Denver-Aurora-Lakewood, CO",55889,1 
"08015"," ","Chaffee CO"," ",17809,1 
"08017"," ","Cheyenne CO"," ",1836,1 
"08019","19740","Clear Creek CO","Denver-Aurora-Lakewood, CO",9088,1 
"08021"," ","Conejos CO"," ",8256,1 
"08023"," ","Costilla CO"," ",3524,1 
"08025"," ","Crowley CO"," ",5823,1 
"08027"," ","Custer CO"," ",4255,1 
"08029"," ","Delta CO"," ",30952,1 
"08031","19740","Denver CO","Denver-Aurora-Lakewood, CO",600158,1 
"08033"," ","Dolores CO"," ",2064,1 
"08035","19740","Douglas CO","Denver-Aurora-Lakewood, CO",285465,1 
"08037","20780","Eagle CO","Edwards, CO",52197,1 
"08039","19740","Elbert CO","Denver-Aurora-Lakewood, CO",23086,1 
"08041","17820","El Paso CO","Colorado Springs, CO",622263,1 
"08043","15860","Fremont CO","Cañon City, CO",46824,1 
"08045","24060","Garfield CO","Glenwood Springs, CO",56389,1 
"08047","19740","Gilpin CO","Denver-Aurora-Lakewood, CO",5441,1 
"08049"," ","Grand CO"," ",14843,1 
"08051"," ","Gunnison CO"," ",15324,1 
"08053"," ","Hinsdale CO"," ",843,1 
"08055"," ","Huerfano CO"," ",6711,1 
"08057"," ","Jackson CO"," ",1394,1 
"08059","19740","Jefferson CO","Denver-Aurora-Lakewood, CO",534543,1 
"08061"," ","Kiowa CO"," ",1398,1 
"08063"," ","Kit Carson CO"," ",8270,1 
"08065"," ","Lake CO"," ",7310,1 
"08067","20420","La Plata CO","Durango, CO",51334,1 
"08069","22660","Larimer CO","Fort Collins, CO",299630,1 
"08071"," ","Las Animas CO"," ",15507,1 
"08073"," ","Lincoln CO"," ",5467,1 
"08075","44540","Logan CO","Sterling, CO",22709,1 
"08077","24300","Mesa CO","Grand Junction, CO",146723,1 
"08079"," ","Mineral CO"," ",712,1 
"08081","18780","Moffat CO","Craig, CO",13795,1 
"08083"," ","Montezuma CO"," ",25535,1 
"08085","33940","Montrose CO","Montrose, CO",41276,1 
"08087","22820","Morgan CO","Fort Morgan, CO",28159,1 
"08089"," ","Otero CO"," ",18831,1 
"08091"," ","Ouray CO"," ",4436,1 
"08093","19740","Park CO","Denver-Aurora-Lakewood, CO",16206,1 
"08095"," ","Phillips CO"," ",4442,1 
"08097","24060","Pitkin CO","Glenwood Springs, CO",17148,1 
"08099"," ","Prowers CO"," ",12551,1 
"08101","39380","Pueblo CO","Pueblo, CO",159063,1 
"08103"," ","Rio Blanco CO"," ",6666,1 
"08105"," ","Rio Grande CO"," ",11982,1 
"08107","44460","Routt CO","Steamboat Springs, CO",23509,1 
"08109"," ","Saguache CO"," ",6108,1 
"08111"," ","San Juan CO"," ",699,1 
"08113"," ","San Miguel CO"," ",7359,1 
"08115"," ","Sedgwick CO"," ",2379,1 
"08117","14720","Summit CO","Breckenridge, CO",27994,1 
"08119","17820","Teller CO","Colorado Springs, CO",23350,1 
"08121"," ","Washington CO"," ",4814,1 
"08123","24540","Weld CO","Greeley, CO",252825,1 
"08125"," ","Yuma CO"," ",10043,1 
"09001","14860","Fairfield CT","Bridgeport-Stamford-Norwalk, CT",916829,1 
"09003","25540","Hartford CT","Hartford-West Hartford-East Hartford, CT",894014,1 
"09005","45860","Litchfield CT","Torrington, CT",189927,1 
"09007","25540","Middlesex CT","Hartford-West Hartford-East Hartford, CT",165676,1 
"09009","35300","New Haven CT","New Haven-Milford, CT",862477,1 
"09011","35980","New London CT","Norwich-New London, CT",274055,1 
"09013","25540","Tolland CT","Hartford-West Hartford-East Hartford, CT",152691,1 
"09015","49340","Windham CT","Worcester, MA-CT",118428,1 
"10001","20100","Kent DE","Dover, DE",162310,1 
"10003","37980","New Castle DE","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",538479,1 
"10005","41540","Sussex DE","Salisbury, MD-DE",197145,1 
"11001","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",601723,1 
"12001","23540","Alachua FL","Gainesville, FL",247336,1 
"12003","27260","Baker FL","Jacksonville, FL",27115,1 
"12005","37460","Bay FL","Panama City, FL",168852,1 
"12007"," ","Bradford FL"," ",28520,1 
"12009","37340","Brevard FL","Palm Bay-Melbourne-Titusville, FL",543376,1 
"12011","33100","Broward FL","Miami-Fort Lauderdale-West Palm Beach, FL",1748066,1 
"12013"," ","Calhoun FL"," ",14625,1 
"12015","39460","Charlotte FL","Punta Gorda, FL",159978,1 
"12017","26140","Citrus FL","Homosassa Springs, FL",141236,1 
"12019","27260","Clay FL","Jacksonville, FL",190865,1 
"12021","34940","Collier FL","Naples-Immokalee-Marco Island, FL",321520,1 
"12023","29380","Columbia FL","Lake City, FL",67531,1 
"12027","11580","DeSoto FL","Arcadia, FL",34862,1 
"12029"," ","Dixie FL"," ",16422,1 
"12031","27260","Duval FL","Jacksonville, FL",864263,1 
"12033","37860","Escambia FL","Pensacola-Ferry Pass-Brent, FL",297619,1 
"12035","19660","Flagler FL","Deltona-Daytona Beach-Ormond Beach, FL",95696,1 
"12037"," ","Franklin FL"," ",11549,1 
"12039","45220","Gadsden FL","Tallahassee, FL",46389,1 
"12041","23540","Gilchrist FL","Gainesville, FL",16939,1 
"12043"," ","Glades FL"," ",12884,1 
"12045","37460","Gulf FL","Panama City, FL",15863,1 
"12047"," ","Hamilton FL"," ",14799,1 
"12049","48100","Hardee FL","Wauchula, FL",27731,1 
"12051","17500","Hendry FL","Clewiston, FL",39140,1 
"12053","45300","Hernando FL","Tampa-St. Petersburg-Clearwater, FL",172778,1 
"12055","42700","Highlands FL","Sebring, FL",98786,1 
"12057","45300","Hillsborough FL","Tampa-St. Petersburg-Clearwater, FL",1229226,1 
"12059"," ","Holmes FL"," ",19927,1 
"12061","42680","Indian River FL","Sebastian-Vero Beach, FL",138028,1 
"12063"," ","Jackson FL"," ",49746,1 
"12065","45220","Jefferson FL","Tallahassee, FL",14761,1 
"12067"," ","Lafayette FL"," ",8870,1 
"12069","36740","Lake FL","Orlando-Kissimmee-Sanford, FL",297052,1 
"12071","15980","Lee FL","Cape Coral-Fort Myers, FL",618754,1 
"12073","45220","Leon FL","Tallahassee, FL",275487,1 
"12075"," ","Levy FL"," ",40801,1 
"12077"," ","Liberty FL"," ",8365,1 
"12079"," ","Madison FL"," ",19224,1 
"12081","35840","Manatee FL","North Port-Sarasota-Bradenton, FL",322833,1 
"12083","36100","Marion FL","Ocala, FL",331298,1 
"12085","38940","Martin FL","Port St. Lucie, FL",146318,1 
"12086","33100","Miami-Dade FL","Miami-Fort Lauderdale-West Palm Beach, FL",2496435,1 
"12087","28580","Monroe FL","Key West, FL",73090,1 
"12089","27260","Nassau FL","Jacksonville, FL",73314,1 
"12091","18880","Okaloosa FL","Crestview-Fort Walton Beach-Destin, FL",180822,1 
"12093","36380","Okeechobee FL","Okeechobee, FL",39996,1 
"12095","36740","Orange FL","Orlando-Kissimmee-Sanford, FL",1145956,1 
"12097","36740","Osceola FL","Orlando-Kissimmee-Sanford, FL",268685,1 
"12099","33100","Palm Beach FL","Miami-Fort Lauderdale-West Palm Beach, FL",1320134,1 
"12101","45300","Pasco FL","Tampa-St. Petersburg-Clearwater, FL",464697,1 
"12103","45300","Pinellas FL","Tampa-St. Petersburg-Clearwater, FL",916542,1 
"12105","29460","Polk FL","Lakeland-Winter Haven, FL",602095,1 
"12107","37260","Putnam FL","Palatka, FL",74364,1 
"12109","27260","St. Johns FL","Jacksonville, FL",190039,1 
"12111","38940","St. Lucie FL","Port St. Lucie, FL",277789,1 
"12113","37860","Santa Rosa FL","Pensacola-Ferry Pass-Brent, FL",151372,1 
"12115","35840","Sarasota FL","North Port-Sarasota-Bradenton, FL",379448,1 
"12117","36740","Seminole FL","Orlando-Kissimmee-Sanford, FL",422718,1 
"12119","45540","Sumter FL","The Villages, FL",93420,1 
"12121"," ","Suwannee FL"," ",41551,1 
"12123"," ","Taylor FL"," ",22570,1 
"12125"," ","Union FL"," ",15535,1 
"12127","19660","Volusia FL","Deltona-Daytona Beach-Ormond Beach, FL",494593,1 
"12129","45220","Wakulla FL","Tallahassee, FL",30776,1 
"12131","18880","Walton FL","Crestview-Fort Walton Beach-Destin, FL",55043,1 
"12133"," ","Washington FL"," ",24896,1 
"13001"," ","Appling GA"," ",18236,1 
"13003"," ","Atkinson GA"," ",8375,1 
"13005"," ","Bacon GA"," ",11096,1 
"13007","10500","Baker GA","Albany, GA",3451,1 
"13009","33300","Baldwin GA","Milledgeville, GA",45720,1 
"13011"," ","Banks GA"," ",18395,1 
"13013","12060","Barrow GA","Atlanta-Sandy Springs-Roswell, GA",69367,1 
"13015","12060","Bartow GA","Atlanta-Sandy Springs-Roswell, GA",100157,1 
"13017","22340","Ben Hill GA","Fitzgerald, GA",17634,1 
"13019"," ","Berrien GA"," ",19286,1 
"13021","31420","Bibb GA","Macon, GA",155547,1 
"13023"," ","Bleckley GA"," ",13063,1 
"13025","15260","Brantley GA","Brunswick, GA",18411,1 
"13027","46660","Brooks GA","Valdosta, GA",16243,1 
"13029","42340","Bryan GA","Savannah, GA",30233,1 
"13031","44340","Bulloch GA","Statesboro, GA",70217,1 
"13033","12260","Burke GA","Augusta-Richmond County, GA-SC",23316,1 
"13035","12060","Butts GA","Atlanta-Sandy Springs-Roswell, GA",23655,1 
"13037"," ","Calhoun GA"," ",6694,1 
"13039","41220","Camden GA","St. Marys, GA",50513,1 
"13043"," ","Candler GA"," ",10998,1 
"13045","12060","Carroll GA","Atlanta-Sandy Springs-Roswell, GA",110527,1 
"13047","16860","Catoosa GA","Chattanooga, TN-GA",63942,1 
"13049"," ","Charlton GA"," ",12171,1 
"13051","42340","Chatham GA","Savannah, GA",265128,1 
"13053","17980","Chattahoochee GA","Columbus, GA-AL",11267,1 
"13055","44900","Chattooga GA","Summerville, GA",26015,1 
"13057","12060","Cherokee GA","Atlanta-Sandy Springs-Roswell, GA",214346,1 
"13059","12020","Clarke GA","Athens-Clarke County, GA",116714,1 
"13061"," ","Clay GA"," ",3183,1 
"13063","12060","Clayton GA","Atlanta-Sandy Springs-Roswell, GA",259424,1 
"13065"," ","Clinch GA"," ",6798,1 
"13067","12060","Cobb GA","Atlanta-Sandy Springs-Roswell, GA",688078,1 
"13069","20060","Coffee GA","Douglas, GA",42356,1 
"13071","34220","Colquitt GA","Moultrie, GA",45498,1 
"13073","12260","Columbia GA","Augusta-Richmond County, GA-SC",124053,1 
"13075"," ","Cook GA"," ",17212,1 
"13077","12060","Coweta GA","Atlanta-Sandy Springs-Roswell, GA",127317,1 
"13079","31420","Crawford GA","Macon, GA",12630,1 
"13081","18380","Crisp GA","Cordele, GA",23439,1 
"13083","16860","Dade GA","Chattanooga, TN-GA",16633,1 
"13085","12060","Dawson GA","Atlanta-Sandy Springs-Roswell, GA",22330,1 
"13087","12460","Decatur GA","Bainbridge, GA",27842,1 
"13089","12060","DeKalb GA","Atlanta-Sandy Springs-Roswell, GA",691893,1 
"13091"," ","Dodge GA"," ",21796,1 
"13093"," ","Dooly GA"," ",14918,1 
"13095","10500","Dougherty GA","Albany, GA",94565,1 
"13097","12060","Douglas GA","Atlanta-Sandy Springs-Roswell, GA",132403,1 
"13099"," ","Early GA"," ",11008,1 
"13101","46660","Echols GA","Valdosta, GA",4034,1 
"13103","42340","Effingham GA","Savannah, GA",52250,1 
"13105"," ","Elbert GA"," ",20166,1 
"13107"," ","Emanuel GA"," ",22598,1 
"13109"," ","Evans GA"," ",11000,1 
"13111"," ","Fannin GA"," ",23682,1 
"13113","12060","Fayette GA","Atlanta-Sandy Springs-Roswell, GA",106567,1 
"13115","40660","Floyd GA","Rome, GA",96317,1 
"13117","12060","Forsyth GA","Atlanta-Sandy Springs-Roswell, GA",175511,1 
"13119"," ","Franklin GA"," ",22084,1 
"13121","12060","Fulton GA","Atlanta-Sandy Springs-Roswell, GA",920581,1 
"13123"," ","Gilmer GA"," ",28292,1 
"13125"," ","Glascock GA"," ",3082,1 
"13127","15260","Glynn GA","Brunswick, GA",79626,1 
"13129","15660","Gordon GA","Calhoun, GA",55186,1 
"13131"," ","Grady GA"," ",25011,1 
"13133"," ","Greene GA"," ",15994,1 
"13135","12060","Gwinnett GA","Atlanta-Sandy Springs-Roswell, GA",805321,1 
"13137","18460","Habersham GA","Cornelia, GA",43041,1 
"13139","23580","Hall GA","Gainesville, GA",179684,1 
"13141","33300","Hancock GA","Milledgeville, GA",9429,1 
"13143","12060","Haralson GA","Atlanta-Sandy Springs-Roswell, GA",28780,1 
"13145","17980","Harris GA","Columbus, GA-AL",32024,1 
"13147"," ","Hart GA"," ",25213,1 
"13149","12060","Heard GA","Atlanta-Sandy Springs-Roswell, GA",11834,1 
"13151","12060","Henry GA","Atlanta-Sandy Springs-Roswell, GA",203922,1 
"13153","47580","Houston GA","Warner Robins, GA",139900,1 
"13155"," ","Irwin GA"," ",9538,1 
"13157","27600","Jackson GA","Jefferson, GA",60485,1 
"13159","12060","Jasper GA","Atlanta-Sandy Springs-Roswell, GA",13900,1 
"13161"," ","Jeff Davis GA"," ",15068,1 
"13163"," ","Jefferson GA"," ",16930,1 
"13165"," ","Jenkins GA"," ",8340,1 
"13167","20140","Johnson GA","Dublin, GA",9980,1 
"13169","31420","Jones GA","Macon, GA",28669,1 
"13171","12060","Lamar GA","Atlanta-Sandy Springs-Roswell, GA",18317,1 
"13173","46660","Lanier GA","Valdosta, GA",10078,1 
"13175","20140","Laurens GA","Dublin, GA",48434,1 
"13177","10500","Lee GA","Albany, GA",28298,1 
"13179","25980","Liberty GA","Hinesville, GA",63453,1 
"13181","12260","Lincoln GA","Augusta-Richmond County, GA-SC",7996,1 
"13183","25980","Long GA","Hinesville, GA",14464,1 
"13185","46660","Lowndes GA","Valdosta, GA",109233,1 
"13187"," ","Lumpkin GA"," ",29966,1 
"13189","12260","McDuffie GA","Augusta-Richmond County, GA-SC",21875,1 
"13191","15260","McIntosh GA","Brunswick, GA",14333,1 
"13193"," ","Macon GA"," ",14740,1 
"13195","12020","Madison GA","Athens-Clarke County, GA",28120,1 
"13197","17980","Marion GA","Columbus, GA-AL",8742,1 
"13199","12060","Meriwether GA","Atlanta-Sandy Springs-Roswell, GA",21992,1 
"13201"," ","Miller GA"," ",6125,1 
"13205"," ","Mitchell GA"," ",23498,1 
"13207","31420","Monroe GA","Macon, GA",26424,1 
"13209","47080","Montgomery GA","Vidalia, GA",9123,1 
"13211","12060","Morgan GA","Atlanta-Sandy Springs-Roswell, GA",17868,1 
"13213","19140","Murray GA","Dalton, GA",39628,1 
"13215","17980","Muscogee GA","Columbus, GA-AL",189885,1 
"13217","12060","Newton GA","Atlanta-Sandy Springs-Roswell, GA",99958,1 
"13219","12020","Oconee GA","Athens-Clarke County, GA",32808,1 
"13221","12020","Oglethorpe GA","Athens-Clarke County, GA",14899,1 
"13223","12060","Paulding GA","Atlanta-Sandy Springs-Roswell, GA",142324,1 
"13225","47580","Peach GA","Warner Robins, GA",27695,1 
"13227","12060","Pickens GA","Atlanta-Sandy Springs-Roswell, GA",29431,1 
"13229","48180","Pierce GA","Waycross, GA",18758,1 
"13231","12060","Pike GA","Atlanta-Sandy Springs-Roswell, GA",17869,1 
