state,puma12,puma2k,_us_,cbsa,stab,cbsaname,PUMAname,PUMA2kName,pop10,afact
FIPS state,puma12,puma2k,_us_,cbsa,State Postal Code,CBSA Name,PUMA12 Name,PUMA 2K Name,"Total Pop, 2010 census",puma2k to cbsa alloc factor
1,1800,1800,us, ,AL, ,"Chilton, Tallapoosa, Chambers & Coosa Counties",101800,30,1
1,1900,1700,us,12220,AL,"Auburn-Opelika, AL",Lee County--Auburn City,101700,140182,1
1,1900,1800,us,12220,AL,"Auburn-Opelika, AL",Lee County--Auburn City,101800,65,1
1,2000,1900,us,33860,AL,"Montgomery, AL",Montgomery City & Pike Road Town (North),101900,190233,1
1,2000,2000,us,33860,AL,"Montgomery, AL",Montgomery City & Pike Road Town (North),102000,6301,1
1,2100,1900,us,33860,AL,"Montgomery, AL","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",101900,14414,1
1,2100,2000,us,33860,AL,"Montgomery, AL","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",102000,152289,1
1,2100,2100,us,33860,AL,"Montgomery, AL","Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",102100,11299,1
1,2200,2100,us, ,AL, ,Southwest Alabama,102100,143558,1
1,2300,1800,us, ,AL, ,"Coffee, Covington, Butler & Crenshaw Counties",101800,34853,1
1,2300,2500,us, ,AL, ,"Coffee, Covington, Butler & Crenshaw Counties",102500,37765,0.431
1,2300,2500,us,21460,AL,"Enterprise, AL","Coffee, Covington, Butler & Crenshaw Counties",102500,49948,0.569
1,2400,1700,us,17980,AL,"Columbus, GA-AL","Russell, Pike, Barbour, Macon & Bullock Counties",101700,2,1
1,2400,1800,us, ,AL, ,"Russell, Pike, Barbour, Macon & Bullock Counties",101800,59823,0.411
1,2400,1800,us,17980,AL,"Columbus, GA-AL","Russell, Pike, Barbour, Macon & Bullock Counties",101800,52945,0.363
1,2400,1800,us,45980,AL,"Troy, AL","Russell, Pike, Barbour, Macon & Bullock Counties",101800,32899,0.226
1,2500,1800,us,20020,AL,"Dothan, AL","Houston, Dale, Geneva & Henry Counties--Dothan City",101800,17302,1
1,2500,2500,us,20020,AL,"Dothan, AL","Houston, Dale, Geneva & Henry Counties--Dothan City",102500,26786,1
1,2500,2600,us,20020,AL,"Dothan, AL","Houston, Dale, Geneva & Henry Counties--Dothan City",102600,101551,0.669
1,2500,2600,us,37120,AL,"Ozark, AL","Houston, Dale, Geneva & Henry Counties--Dothan City",102600,50251,0.331
1,2600,2400,us,19300,AL,"Daphne-Fairhope-Foley, AL",Baldwin County,102400,182265,1
1,2701,2200,us,33660,AL,"Mobile, AL",Mobile City (East),102200,90451,1
1,2701,2300,us,33660,AL,"Mobile, AL",Mobile City (East),102300,20314,1
1,2702,2200,us,33660,AL,"Mobile, AL",Mobile City (West),102200,96985,1
1,2702,2300,us,33660,AL,"Mobile, AL",Mobile City (West),102300,10300,1
1,2703,2200,us,33660,AL,"Mobile, AL","Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",102200,2934,1
1,2703,2300,us,33660,AL,"Mobile, AL","Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",102300,192008,1
2,101,101,us,11260,AK,"Anchorage, AK",Anchorage Municipality (North),200101,132542,1
2,102,102,us,11260,AK,"Anchorage, AK",Anchorage Municipality (South),200102,159284,1
2,200,200,us, ,AK, ,Matanuska-Susitna & Kenai Peninsula Boroughs,200200,55400,0.384
2,200,200,us,11260,AK,"Anchorage, AK",Matanuska-Susitna & Kenai Peninsula Boroughs,200200,88995,0.616
2,300,300,us, ,AK, ,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",200300,20999,0.129
2,300,300,us,21820,AK,"Fairbanks, AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",200300,97581,0.597
2,300,300,us,27940,AK,"Juneau, AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",200300,31275,0.191
2,300,300,us,28540,AK,"Ketchikan, AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",200300,13472,0.082
2,300,400,us, ,AK, ,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",200400,968,0.995
2,300,400,us,28540,AK,"Ketchikan, AK","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",200400,5,0.005
